,Rank,Points,Player_1_Name,Player_2_Name,Player_3_Name,Player_4_Name,Player_5_Name,Player_6_Name,Player_7_Name,Player_8_Name,Player_9_Name,Player_10_Name,Player_1_Position_Rostered,Player_2_Position_Rostered,Player_3_Position_Rostered,Player_4_Position_Rostered,Player_5_Position_Rostered,Player_6_Position_Rostered,Player_7_Position_Rostered,Player_8_Position_Rostered,Player_9_Position_Rostered,Player_10_Position_Rostered,Player_1_Salary,Player_2_Salary,Player_3_Salary,Player_4_Salary,Player_5_Salary,Player_6_Salary,Player_7_Salary,Player_8_Salary,Player_9_Salary,Player_10_Salary,Player_1_Team,Player_2_Team,Player_3_Team,Player_4_Team,Player_5_Team,Player_6_Team,Player_7_Team,Player_8_Team,Player_9_Team,Player_10_Team,Main_Stack,Secondary_Stack,Tertiary_Stack,Main_Stack_Length,Secondary_Stack_Length,Tertiary_Stack_Length
Infidel8,19,110.85,Alek Manoah,Huascar Ynoa,Shohei Ohtani,Brandon Nimmo,Ji-Man Choi,Marcell Ozuna,Luis Arraez,Elvis Andrus,Francisco Mejia,Gio Urshela,P,P,OF,OF,1B,OF,2B,SS,C,3B,10200,8600,6000,4000,4000,3800,3600,3300,3200,3200,TOR,ATL,LAA,NYM,TB,ATL,MIN,OAK,TB,MIN,TB,MIN,,2,2,
Bulldog2205,20,110.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Brandon Belt,Wander Franco,Kyle Schwarber,Anthony Rendon,Mike Yastrzemski,Joey Wendle,Sean Murphy,P,P,OF,1B,SS,OF,3B,OF,2B,C,6700,5600,6000,5500,5300,5300,4300,3800,3800,3500,LAA,MIN,LAA,SF,TB,PHI,LAA,SF,MIA,OAK,SF,LAA,,2,2,
82Goldtop,21,109.85,Alex Wood,Michael Lorenzen,Matt Olson,Ozzie Albies,Austin Riley,Teoscar Hernandez,Adam Duvall,Marcell Ozuna,Elvis Andrus,Francisco Mejia,P,P,1B,2B,3B,OF,OF,OF,SS,C,9200,6700,5400,4800,4800,4700,4100,3800,3300,3200,SF,LAA,ATL,ATL,ATL,TOR,ATL,ATL,OAK,TB,ATL,,,5,,
gatorbk37,22,109.8,Alek Manoah,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Adam Duvall,Gary Sanchez,Orlando Arcia,Julio Rodriguez,P,P,1B,OF,2B,3B,OF,C,SS,OF,10200,6700,6000,5900,4800,4800,4100,2800,2500,2000,TOR,LAA,LAA,MIN,ATL,ATL,ATL,MIN,ATL,SEA,ATL,MIN,,4,2,
beeks82,23,109.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,George Springer,Pete Alonso,Ozzie Albies,Francisco Lindor,J.T. Realmuto,Anthony Rendon,Marcell Ozuna,P,P,OF,OF,1B,2B,SS,C,3B,OF,5900,5600,6000,5100,4800,4800,4600,4600,4300,3800,SD,MIN,LAA,TOR,NYM,ATL,NYM,PHI,LAA,ATL,LAA,NYM,ATL,2,2,2
Boltz017,24,108.4,Alek Manoah,Luis Patino,Brandon Lowe,Wander Franco,Jesus Sanchez,Jorge Soler,Josh Bell,Joey Wendle,Keibert Ruiz,Julio Rodriguez,P,P,2B,SS,OF,OF,1B,3B,C,OF,10200,7800,5400,5300,4200,4100,3800,3800,3200,2000,TOR,TB,TB,TB,MIA,MIA,WAS,MIA,WAS,SEA,MIA,WAS,TB,3,2,2
braun_4,25,108.35,Michael Lorenzen,Dylan Bundy,Juan Soto,Brandon Lowe,Wander Franco,Rhys Hoskins,Austin Riley,J.T. Realmuto,Marcell Ozuna,Josh Lowe,P,P,OF,2B,SS,1B,3B,C,OF,OF,6700,5600,5700,5400,5300,5200,4800,4600,3800,2800,LAA,MIN,WAS,TB,TB,PHI,ATL,PHI,ATL,TB,TB,ATL,PHI,3,2,2
Fourscore4,26,107.8,Alek Manoah,Michael Lorenzen,Bryce Harper,Nick Castellanos,Kyle Schwarber,J.T. Realmuto,Didi Gregorius,J.D. Davis,Billy McKinney,Tyler Wade,P,P,OF,OF,OF,C,SS,3B,1B,2B,10200,6700,6200,5600,5300,4600,3700,3000,2400,2300,TOR,LAA,PHI,PHI,PHI,PHI,PHI,NYM,OAK,LAA,PHI,,,5,,
logan6778,27,107.75,Elieser Hernandez,Dylan Bundy,Byron Buxton,Matt Olson,Wander Franco,Ozzie Albies,Austin Riley,J.T. Realmuto,Marcell Ozuna,Julio Rodriguez,P,P,OF,1B,SS,2B,3B,C,OF,OF,7500,5600,5900,5400,5300,4800,4800,4600,3800,2000,MIA,MIN,MIN,ATL,TB,ATL,ATL,PHI,ATL,SEA,ATL,,,4,,
curt1224,28,107.55,Chris Flexen,Josh Rogers,Byron Buxton,Wander Franco,Giancarlo Stanton,Jorge Polanco,Pete Alonso,Keibert Ruiz,Chad Pinder,Julio Rodriguez,P,P,OF,SS,OF,2B,1B,C,3B,OF,9600,6300,5900,5300,5200,4900,4800,3200,2700,2000,SEA,WAS,MIN,TB,NYY,MIN,NYM,WAS,OAK,SEA,MIN,,,2,,
mkipe19,28,107.55,Alek Manoah,Nick Martinez,Vladimir Guerrero Jr.,Byron Buxton,Carlos Correa,Teoscar Hernandez,Luis Arraez,Gio Urshela,Gary Sanchez,Julio Rodriguez,P,P,1B,OF,SS,OF,2B,3B,C,OF,10200,5900,6100,5900,5100,4700,3600,3200,2800,2000,TOR,SD,TOR,MIN,MIN,TOR,MIN,MIN,MIN,SEA,MIN,TOR,,5,2,
chasehill88,30,107.2,Luis Patino,Michael Lorenzen,Bryce Harper,Kyle Schwarber,Rhys Hoskins,Jazz Chisholm Jr.,Jorge Polanco,J.T. Realmuto,Sheldon Neuse,Julio Rodriguez,P,P,OF,OF,1B,SS,2B,C,3B,OF,7800,6700,6200,5300,5200,5000,4900,4600,2300,2000,TB,LAA,PHI,PHI,PHI,MIA,MIN,PHI,OAK,SEA,PHI,,,4,,
ohm27,31,106.85,Alek Manoah,Huascar Ynoa,Rhys Hoskins,George Springer,Teoscar Hernandez,Francisco Lindor,Marcell Ozuna,Jack Mayfield,Manny Pina,Santiago Espinal,P,P,1B,OF,OF,SS,OF,3B,C,2B,10200,8600,5200,5100,4700,4600,3800,2800,2600,2400,TOR,ATL,PHI,TOR,TOR,NYM,ATL,LAA,ATL,TOR,TOR,ATL,,3,2,
aafeath2,31,106.85,Alex Wood,Michael Lorenzen,Byron Buxton,Matt Olson,Kyle Schwarber,Ozzie Albies,Marcell Ozuna,Luis Arraez,Gary Sanchez,Taylor Walls,P,P,OF,1B,OF,2B,OF,3B,C,SS,9200,6700,5900,5400,5300,4800,3800,3600,2800,2400,SF,LAA,MIN,ATL,PHI,ATL,ATL,MIN,MIN,TB,MIN,ATL,,3,3,
Coug47,33,106.6,Alex Wood,Dylan Bundy,Bryce Harper,Vladimir Guerrero Jr.,Byron Buxton,Wander Franco,Alec Bohm,Cesar Hernandez,Joey Bart,Julio Rodriguez,P,P,OF,1B,OF,SS,3B,2B,C,OF,9200,5600,6200,6100,5900,5300,3700,3500,2500,2000,SF,MIN,PHI,TOR,MIN,TB,PHI,WAS,SF,SEA,PHI,,,2,,
AMAC0914,34,106.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Jesse Winker,Ozzie Albies,Miguel Sano,Luis Arraez,Gary Sanchez,P,P,OF,OF,SS,OF,2B,1B,3B,C,6700,5600,6000,5900,5100,5000,4800,3900,3600,2800,LAA,MIN,LAA,MIN,MIN,SEA,ATL,MIN,MIN,MIN,MIN,,,5,,
rhetthuffaker20,35,106.3,Jameson Taillon,Nick Martinez,Bryce Harper,Shohei Ohtani,Byron Buxton,Eugenio Suarez,Adam Frazier,Elvis Andrus,Francisco Mejia,Billy McKinney,P,P,OF,OF,OF,3B,2B,SS,C,1B,8000,5900,6200,6000,5900,4200,4000,3300,3200,2400,NYY,SD,PHI,LAA,MIN,SEA,SEA,OAK,TB,OAK,SEA,OAK,,2,2,
johnmtyl,36,106.05,Alek Manoah,Alex Wood,Jared Walsh,Anthony Rendon,Jesus Sanchez,Jorge Soler,Joey Wendle,Brandon Marsh,David Fletcher,Jacob Stallings,P,P,1B,3B,OF,OF,2B,OF,SS,C,10200,9200,4700,4300,4200,4100,3800,3100,3100,3000,TOR,SF,LAA,LAA,MIA,MIA,MIA,LAA,LAA,MIA,LAA,MIA,,4,4,
chuckface8,37,105.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Bo Bichette,Matt Olson,Manny Machado,Ozzie Albies,Adam Duvall,Marcell Ozuna,Austin Nola,P,P,OF,SS,1B,3B,2B,OF,OF,C,6700,5600,6000,5400,5400,4900,4800,4100,3800,2900,LAA,MIN,LAA,TOR,ATL,SD,ATL,ATL,ATL,SD,ATL,SD,,4,2,
Hobbits21,37,105.35,Michael Lorenzen,Dylan Bundy,Bryce Harper,Byron Buxton,Kyle Schwarber,Rhys Hoskins,Carlos Correa,Luis Arraez,Gio Urshela,Gary Sanchez,P,P,OF,OF,OF,1B,SS,2B,3B,C,6700,5600,6200,5900,5300,5200,5100,3600,3200,2800,LAA,MIN,PHI,MIN,PHI,PHI,MIN,MIN,MIN,MIN,MIN,PHI,,5,3,
jrsmoke420,37,105.35,Michael Lorenzen,Dylan Bundy,Bryce Harper,Shohei Ohtani,Byron Buxton,Giancarlo Stanton,Francisco Lindor,Luis Arraez,Gio Urshela,Gary Sanchez,P,P,OF,1B,OF,OF,SS,2B,3B,C,6700,5600,6200,6000,5900,5200,4600,3600,3200,2800,LAA,MIN,PHI,LAA,MIN,NYY,NYM,MIN,MIN,MIN,MIN,,,4,,
btulloch10,40,104.85,Alek Manoah,Huascar Ynoa,Vladimir Guerrero Jr.,Wander Franco,George Springer,Teoscar Hernandez,Josh Lowe,Taylor Walls,Santiago Espinal,Zack Collins,P,P,1B,SS,OF,OF,OF,3B,2B,C,10200,8600,6100,5300,5100,4700,2800,2400,2400,2300,TOR,ATL,TOR,TB,TOR,TOR,TB,TB,TOR,TOR,TOR,TB,,5,3,
samarz66,41,104.6,Alex Wood,Dylan Bundy,Vladimir Guerrero Jr.,Byron Buxton,Wander Franco,Teoscar Hernandez,Luis Arraez,Francisco Mejia,Gio Urshela,Aaron Hicks,P,P,1B,OF,SS,OF,2B,C,3B,OF,9200,5600,6100,5900,5300,4700,3600,3200,3200,3100,SF,MIN,TOR,MIN,TB,TOR,MIN,TB,MIN,NYY,MIN,TB,TOR,3,2,2
T_revor,42,104.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Wander Franco,Ozzie Albies,Austin Riley,Adam Duvall,Max Stassi,Josh Lowe,Julio Rodriguez,P,P,1B,SS,2B,3B,OF,C,OF,OF,10200,5900,6000,5300,4800,4800,4100,3700,2800,2000,TOR,SD,LAA,TB,ATL,ATL,ATL,LAA,TB,SEA,ATL,LAA,TB,3,2,2
zspeer131,43,103.35,Michael Lorenzen,Dylan Bundy,Vladimir Guerrero Jr.,Brandon Lowe,Wander Franco,George Springer,Teoscar Hernandez,Matt Chapman,Alejandro Kirk,Josh Lowe,P,P,1B,2B,SS,OF,OF,3B,C,OF,6700,5600,6100,5400,5300,5100,4700,4000,3100,2800,LAA,MIN,TOR,TB,TB,TOR,TOR,TOR,TOR,TB,TOR,TB,,5,3,
GoldenBatman,43,103.35,Michael Lorenzen,Dylan Bundy,Vladimir Guerrero Jr.,Byron Buxton,Aaron Judge,Ozzie Albies,Joey Gallo,Gleyber Torres,Luis Arraez,Gary Sanchez,P,P,1B,OF,OF,2B,OF,SS,3B,C,6700,5600,6100,5900,5800,4800,4500,4100,3600,2800,LAA,MIN,TOR,MIN,NYY,ATL,NYY,NYY,MIN,MIN,MIN,NYY,,3,3,
arod6909,45,102.55,Alek Manoah,Nick Martinez,Matt Olson,Ozzie Albies,Austin Riley,Jesus Sanchez,Dansby Swanson,Marcell Ozuna,Gary Sanchez,Jurickson Profar,P,P,1B,2B,3B,OF,SS,OF,C,OF,10200,5900,5400,4800,4800,4200,4200,3800,2800,2400,TOR,SD,ATL,ATL,ATL,MIA,ATL,ATL,MIN,SD,ATL,,,5,,
gatorhater24,46,102.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,P,P,1B,OF,SS,2B,3B,OF,OF,C,6700,5600,6000,5900,5100,4800,4800,4100,3800,2800,LAA,MIN,LAA,MIN,MIN,ATL,ATL,ATL,ATL,MIN,ATL,MIN,,4,3,
machoisABEEST,46,102.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,P,P,1B,OF,SS,2B,3B,OF,OF,C,6700,5600,6000,5900,5100,4800,4800,4100,3800,2800,LAA,MIN,LAA,MIN,MIN,ATL,ATL,ATL,ATL,MIN,ATL,MIN,,4,3,
Tbomb300,46,102.35,Michael Lorenzen,Nick Martinez,Shohei Ohtani,Byron Buxton,Kyle Schwarber,Ozzie Albies,Jared Walsh,Dansby Swanson,Luis Arraez,Manny Pina,P,P,OF,OF,OF,2B,1B,SS,3B,C,6700,5900,6000,5900,5300,4800,4700,4200,3600,2600,LAA,SD,LAA,MIN,PHI,ATL,LAA,ATL,MIN,ATL,ATL,LAA,MIN,3,2,2
OscarG18,49,101.35,Michael Lorenzen,Dylan Bundy,Brandon Lowe,Wander Franco,Rhys Hoskins,Jesse Winker,Austin Riley,J.T. Realmuto,Marcell Ozuna,Josh Lowe,P,P,2B,SS,1B,OF,3B,C,OF,OF,6700,5600,5400,5300,5200,5000,4800,4600,3800,2800,LAA,MIN,TB,TB,PHI,SEA,ATL,PHI,ATL,TB,TB,ATL,PHI,3,2,2
JusticeJones18,49,101.35,Michael Lorenzen,Nick Martinez,Bryce Harper,Wander Franco,Ozzie Albies,Austin Riley,J.T. Realmuto,Ji-Man Choi,Marcell Ozuna,Max Kepler,P,P,OF,SS,2B,3B,C,1B,OF,OF,6700,5900,6200,5300,4800,4800,4600,4000,3800,3700,LAA,SD,PHI,TB,ATL,ATL,PHI,TB,ATL,MIN,ATL,TB,PHI,3,2,2
noduds,51,101.1,Nick Martinez,Dylan Bundy,Juan Soto,Matt Olson,Wander Franco,Ozzie Albies,Austin Riley,J.T. Realmuto,Adam Duvall,Marcell Ozuna,P,P,OF,1B,SS,2B,3B,C,OF,OF,5900,5600,5700,5400,5300,4800,4800,4600,4100,3800,SD,MIN,WAS,ATL,TB,ATL,ATL,PHI,ATL,ATL,ATL,,,5,,
deadfan1125,52,100.85,Alex Wood,Michael Lorenzen,Byron Buxton,Brandon Lowe,Wander Franco,Jared Walsh,Luis Arraez,Kevin Kiermaier,Gary Sanchez,Josh Lowe,P,P,OF,2B,SS,1B,3B,OF,C,OF,9200,6700,5900,5400,5300,4700,3600,3000,2800,2800,SF,LAA,MIN,TB,TB,LAA,MIN,TB,MIN,TB,TB,MIN,,4,3,
zharvey6,53,99.55,Alek Manoah,Nick Martinez,Byron Buxton,Matt Olson,Kyle Schwarber,Austin Riley,Luis Arraez,Francisco Mejia,Ha-Seong Kim,Josh Lowe,P,P,OF,1B,OF,3B,2B,C,SS,OF,10200,5900,5900,5400,5300,4800,3600,3200,2900,2800,TOR,SD,MIN,ATL,PHI,ATL,MIN,TB,SD,TB,MIN,TB,ATL,2,2,2
mleiferman2,53,99.55,Alek Manoah,Dylan Bundy,Byron Buxton,Carlos Correa,Jorge Polanco,Austin Riley,Nelson Cruz,Miguel Sano,Gary Sanchez,Josh Lowe,P,P,OF,SS,2B,3B,OF,1B,C,OF,10200,5600,5900,5100,4900,4800,4000,3900,2800,2800,TOR,MIN,MIN,MIN,MIN,ATL,WAS,MIN,MIN,TB,MIN,,,5,,
AngerTornado,55,99.35,Michael Lorenzen,Nick Martinez,Bryce Harper,Brandon Lowe,Wander Franco,Kyle Schwarber,Rhys Hoskins,J.T. Realmuto,Josh Lowe,Taylor Walls,P,P,OF,2B,SS,OF,1B,C,OF,3B,6700,5900,6200,5400,5300,5300,5200,4600,2800,2400,LAA,SD,PHI,TB,TB,PHI,PHI,PHI,TB,TB,TB,PHI,,4,4,
IAMDMS,56,98.8,Alek Manoah,Michael Lorenzen,Nick Castellanos,Brandon Lowe,Rhys Hoskins,J.T. Realmuto,Yandy Diaz,Josh Lowe,Brett Phillips,Taylor Walls,P,P,OF,2B,1B,C,3B,OF,OF,SS,10200,6700,5600,5400,5200,4600,4500,2800,2600,2400,TOR,LAA,PHI,TB,PHI,PHI,TB,TB,TB,TB,TB,PHI,,5,3,
cococopuffs23,56,98.8,Alek Manoah,Michael Lorenzen,Byron Buxton,Matt Olson,Ozzie Albies,Mitch Haniger,Max Kepler,Gio Urshela,Gary Sanchez,Orlando Arcia,P,P,OF,1B,2B,OF,OF,3B,C,SS,10200,6700,5900,5400,4800,4600,3700,3200,2800,2500,TOR,LAA,MIN,ATL,ATL,SEA,MIN,MIN,MIN,ATL,MIN,ATL,,4,3,
formulaq,58,98.45,Alex Wood,Luis Patino,Jazz Chisholm Jr.,J.T. Realmuto,Jesus Sanchez,Jorge Soler,Nelson Cruz,Josh Bell,Joey Wendle,Cesar Hernandez,P,P,SS,C,OF,OF,OF,1B,3B,2B,9200,7800,5000,4600,4200,4100,4000,3800,3800,3500,SF,TB,MIA,PHI,MIA,MIA,WAS,WAS,MIA,WAS,MIA,WAS,,4,3,
KbonesKickers,59,98.35,Michael Lorenzen,Dylan Bundy,Aaron Judge,Bo Bichette,Giancarlo Stanton,George Springer,Anthony Rizzo,Matt Chapman,Alejandro Kirk,Santiago Espinal,P,P,OF,SS,OF,OF,1B,3B,C,2B,6700,5600,5800,5400,5200,5100,5000,4000,3100,2400,LAA,MIN,NYY,TOR,NYY,TOR,NYY,TOR,TOR,TOR,TOR,NYY,,5,3,
josh9117,59,98.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Juan Soto,Brandon Lowe,Wander Franco,Jared Walsh,Anthony Rendon,Max Stassi,Brett Phillips,P,P,OF,OF,2B,SS,1B,3B,C,OF,6700,5600,6000,5700,5400,5300,4700,4300,3700,2600,LAA,MIN,LAA,WAS,TB,TB,LAA,LAA,LAA,TB,LAA,TB,,4,3,
Ryeguyrollin,59,98.35,Michael Lorenzen,Dylan Bundy,Byron Buxton,Juan Soto,Carlos Correa,Ozzie Albies,Austin Riley,Jared Walsh,Marcell Ozuna,Gary Sanchez,P,P,OF,OF,SS,2B,3B,1B,OF,C,6700,5600,5900,5700,5100,4800,4800,4700,3800,2800,LAA,MIN,MIN,WAS,MIN,ATL,ATL,LAA,ATL,MIN,MIN,ATL,,3,3,
sportsfan882,62,97.65,Huascar Ynoa,Michael Lorenzen,Byron Buxton,Carlos Correa,George Springer,Jorge Polanco,Austin Riley,Max Kepler,Gary Sanchez,Billy McKinney,P,P,OF,SS,OF,2B,3B,OF,C,1B,8600,6700,5900,5100,5100,4900,4800,3700,2800,2400,ATL,LAA,MIN,MIN,TOR,MIN,ATL,MIN,MIN,OAK,MIN,,,5,,
abiester3,63,97.35,Michael Lorenzen,Nick Martinez,Shohei Ohtani,Juan Soto,Wander Franco,Kyle Schwarber,Ozzie Albies,Austin Riley,Luke Voit,Cal Raleigh,P,P,OF,OF,SS,OF,2B,3B,1B,C,6700,5900,6000,5700,5300,5300,4800,4800,3300,2100,LAA,SD,LAA,WAS,TB,PHI,ATL,ATL,SD,SEA,ATL,,,2,,
